제품명1,성분1,성분2,성분3,식약처분류,효능/효과1,효능/효과2,대상,결과,제품명2,사유
로수젯정,Ezetimibe(에제티미브) 10mg,Rosuvastatin Calcium(로수바스타틴칼슘) 10.4mg,,동맥경화용제,고지혈증,고지형증치료제,"고지혈증 환자, 심혈관질환 위험 높은 중장년층",⚠️,타이레놀,"가능한 상호작용: 대사효소/수송체 변화 (예: CYP3A4, P-gp 등). 전문자료 확인 필요"
카나브정,Fimasartan Potassium Trihydrate(피마사르탄칼륨삼수화물) 33mg,,,혈압강하제 ,"고혈압증, 만성 심장질환증",고혈압증치료제,"혈압 높은 중장년층, 특히 이상지질혈증 동반 환자",❌,"부루펜, 애드빌","신장 혈류를 줄이고, ARB와 함께 복용 시 신장 기능 악화·고칼륨혈증 위험 ↑. 만성 복용 특히 위험."
아스트릭스캡슐,Aspirin Enteric Gr.(아스피린장용과립) 120.98mg,,,기타의 순환계용약,심혈관계증,"혈전 형성을 차단하여 심장병, 뇌졸중, 고혈압, 식도암, 대장암, 직장암, 백내장의 예방, 억제 또는 치료에 도움","혈전 형성을 차단하여 심장병, 뇌졸중, 고혈압, 식도암, 대장암, 직장암, 백내장의 예방, 억제 또는 치료에 도움",❌,아스피린,항응고제+항혈소판제 병용 → 출혈 위험 크게 증가
암로디핀정,Amlodipine Maleate(암로디핀말레산염) 6.42mg,,,혈압강하제 ,고혈압증,고혈압증치료제,"고혈압, 관상동맥의 고정폐쇄(안정협심증) 또는 관상혈관계의 혈관경련수축(이형협심증)에 의한 심근성허혈증",❌,"판피린, 판콜","혈압약 효과 ↓, 감기약 성분이 혈압·맥박 상승"
메토폴정,Metformin Hydrochloride(메트포르민염산염) 500mg,,,당뇨병용제,당뇨병,혈당 조절,제2형 당뇨병 환자에 도움,❌,술,알코올과 병용 시 젖산산증 위험 ↑
포시가정,Dapagliflozin Propanediol Hydrate(다파글리플로진프로판디올수화물) 12.3mg,,,당뇨병용제,당뇨병,혈당 조절,제2형 당뇨병 환자에 도움,⚠️,"판피린, 판콜에스, 펜잘큐정",일부 성분에 의해 혈당 상승 + 탈수 위험 + 간 부담 발생
와파린정,Warfarin Sodium(와파린나트륨) 5mg,,,혈액응고저지제,심장질환,정맥혈전증의 예방 및 치료 외,심장질환(심방세동 등),❌,"아스피린, 애드빌, 펜잘",항응고+항혈소판 작용 겹쳐 출혈 위험 극대화
타이레놀,Acetaminophen Granule(아세트아미노펜과립) 555.556mg,,,"해열, 진통, 소염제",감기로 인한 발열 및 통증,"해열, 진통, 소염",감기 환자,❌,"판콜, 판피린",아세트아미노펜 과다 복용으로 간독성 ↑
겔포스,Aluminum Phosphate Gel(인산알루미늄겔) 12.38g,Magnesium Hydroxide(수산화마그네슘) 400mg,,제산제,위산 중화,"속쓰림, 복부팽만감 완화",소화불량 환자,⚠️,"마미앤대디, 헤모씨",철분제의 흡수율 방해
펜잘큐정,Caffeine Anhydrous(카페인무수물) 50mg,Acetaminophen(아세트아미노펜) 300mg,Ethenzamide(에텐자미드) 200mg,"해열, 진통, 소염제","통증, 발열 완화","통증, 발열 완화","치통, 두통 환자",⚠️,"커피, 에너지 음료","카페인 과다 → 불면, 심계항진, 위산 역류 위험"
케토톱,케토프로펜,,,"진통, 진양, 수렴, 소염제",진통 완화,"관절염, 근유통 완화","퇴행성관절염 환자, 운동 후 근육통증 ",⚠️,"부루펜, 이부펜, 애드빌(Advil), 펜잘에이스, 펜잘큐","진통소염 성분 중복 → 위장관 출혈, 신장 부담 ↑. 붙이고 복용하는 것 동시는 안됨."

